"source","lib1","sink","lib2"
"getSchemeRegistry(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","super(...)","org.apache.http.impl.conn.PoolingHttpClientConnectionManager"
"build(...)","org.apache.http.client.config.RequestConfig$Builder","property(...)","org.glassfish.jersey.client.ClientConfig"
"asWebPathPart(...)","com.github.dockerjava.core.RemoteApiVersion","path(...)","javax.ws.rs.client.WebTarget"
"new UnixConnectionSocketFactory(...)","com.github.dockerjava.jaxrs.UnixConnectionSocketFactory","register(...)","org.apache.http.config.RegistryBuilder<ConnectionSocketFactory>"
"build(...)","org.apache.http.config.RegistryBuilder<ConnectionSocketFactory>","new (...)","<anonymous class>"
"new AuthCmdExec(...)","com.github.dockerjava.jaxrs.AuthCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new InfoCmdExec(...)","com.github.dockerjava.jaxrs.InfoCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new PingCmdExec(...)","com.github.dockerjava.jaxrs.PingCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new VersionCmdExec(...)","com.github.dockerjava.jaxrs.VersionCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new PullImageCmdExec(...)","com.github.dockerjava.jaxrs.PullImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new PushImageCmdExec(...)","com.github.dockerjava.jaxrs.PushImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new SaveImageCmdExec(...)","com.github.dockerjava.jaxrs.SaveImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CreateImageCmdExec(...)","com.github.dockerjava.jaxrs.CreateImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new LoadImageCmdExec(...)","com.github.dockerjava.jaxrs.LoadImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new SearchImagesCmdExec(...)","com.github.dockerjava.jaxrs.SearchImagesCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new RemoveImageCmdExec(...)","com.github.dockerjava.jaxrs.RemoveImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ListImagesCmdExec(...)","com.github.dockerjava.jaxrs.ListImagesCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new InspectImageCmdExec(...)","com.github.dockerjava.jaxrs.InspectImageCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ListContainersCmdExec(...)","com.github.dockerjava.jaxrs.ListContainersCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CreateContainerCmdExec(...)","com.github.dockerjava.jaxrs.CreateContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new StartContainerCmdExec(...)","com.github.dockerjava.jaxrs.StartContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new InspectContainerCmdExec(...)","com.github.dockerjava.jaxrs.InspectContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ExecCreateCmdExec(...)","com.github.dockerjava.jaxrs.ExecCreateCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new RemoveContainerCmdExec(...)","com.github.dockerjava.jaxrs.RemoveContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new WaitContainerCmdExec(...)","com.github.dockerjava.jaxrs.WaitContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
